Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLineInactive,CountLine_Javascript,CountLine_Php,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,org.ethereum.sync.BlockDownloader.stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,0,,,,5,1,3,,,0,,,,,,,,,2,4,1,3,6,1,,,,5,,,3,3,3,1,0,,,,,0,,1,0,,0.00,,,,
Private Method,org.ethereum.sync.BlockDownloader.validateAndAddHeaders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,44,11,,,,22,3,15,,,11,,,,,,,,,13,7,1,10,18,4,,,,14,,,6,6,7,4,4,,,,,4,,3,4,,0.50,,,,
Public Method,org.ethereum.sync.BlockDownloader.waitForStop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,0,,,,7,1,4,,,0,,,,,,,,,1,2,0,2,4,1,,,,3,,,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Public Class,org.ethereum.sync.BlockTxForwardTest,,,,,,,3,3,3,1,51,3,44,4,1,6,0,,0,8,,,,,3,0,,,,3,3,,0,,1,0,2,,559,70,,,,378,102,240,,,113,,,,,,,,,,,,158,237,94,,,,143,,,,,,,,5,5,7,1,,1,2,,66,0.30,9,9,11,3
Class,org.ethereum.sync.BlockTxForwardTest.(Anon_3),,,,,,,1,1,1,1,3,0,3,0,2,0,0,,0,0,,,,,1,0,,,,1,1,,0,,0,0,1,,4,0,,,,4,0,3,,,0,,,,,,,,,,,,1,2,1,,,,1,,,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Public Method,org.ethereum.sync.BlockTxForwardTest.(Anon_3).newThread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,,,,3,0,2,,,0,,,,,,,,,1,1,0,1,2,1,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Private Static Class,org.ethereum.sync.BlockTxForwardTest.BasicSample,,,,,,,1,1,1,1,10,1,6,3,2,6,3,,1,1,,,,,6,10,,,,7,7,,0,,2,0,5,,139,28,,,,84,26,46,,,27,,,,,,,,,,,,36,55,25,,,,30,,,,,,,,3,3,3,3,,1,2,,83,0.32,11,11,11,9
Class,org.ethereum.sync.BlockTxForwardTest.BasicSample.(Anon_1),,,,,,,1,1,1,1,4,0,3,0,2,5,0,,0,0,,,,,4,0,,,,4,4,,0,,0,0,4,,24,4,,,,20,1,15,,,0,,,,,,,,,,,,5,10,4,,,,6,,,,,,,,2,2,2,1,,1,1,,0,0.00,5,5,5,4
Public Method,org.ethereum.sync.BlockTxForwardTest.BasicSample.(Anon_1).onBlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,1,,,,6,0,4,,,0,,,,,,,,,3,2,0,2,4,1,,,,3,,,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Method,org.ethereum.sync.BlockTxForwardTest.BasicSample.(Anon_1).onEthStatusUpdated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,,,,3,0,2,,,0,,,,,,,,,2,1,0,1,2,1,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
