Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLineInactive,CountLine_Javascript,CountLine_Php,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unnamed Function,$.fn.markdown.defaults.buttons.data.callback.(unnamed_function_31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,0,,3,,,3,,0,,0,,,,3,,,,,1,0,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,
Unnamed Function,$.fn.markdown.defaults.buttons.data.callback.(unnamed_function_32),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,0,,3,,,3,,0,,0,,,,3,,,,,1,0,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.markdown.defaults.onBlur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,0,0,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.markdown.defaults.onChange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,0,0,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.markdown.defaults.onFocus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,0,0,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.markdown.defaults.onFullscreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,0,0,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.markdown.defaults.onPreview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,0,0,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.markdown.defaults.onSave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,0,0,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.markdown.defaults.onSelect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,0,0,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.markdown.defaults.onShow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,1,,,,,1,0,,,1,1,,,0,0,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.markdown.noConflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,0,,4,,,4,,0,,0,,,,4,,,,,1,0,,,1,1,,,2,2,,1,1,1,1,,,,,,,,,,0,,,,,,,
Function,$.fn.modal.noConflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,0,,4,,,4,,0,,0,,,,4,,,,,1,0,,,1,1,,,2,2,,1,1,1,1,,,,,,,,,,0,,,,,,,
